IP address,DNS Packet Length,Response Status,Time
18.194.187.120,66,Refused,1525185311.9700909
18.194.190.211,82,No Error,1525185312.0141656
18.194.191.76,66,Refused,1525185312.0220592
18.194.193.54,82,No Error,1525185312.0280313
18.194.193.197,66,Refused,1525185312.0412652
18.194.192.210,82,No Error,1525185312.0435708
18.194.90.210,66,Server Failure,1525185312.1031694
18.194.199.48,66,Refused,1525185312.1140807
18.194.202.17,66,Refused,1525185312.1180277
18.194.203.107,66,Refused,1525185312.1319845
18.194.204.114,66,Refused,1525185312.1402938
18.194.203.143,66,Refused,1525185312.1478996
18.194.204.76,82,No Error,1525185312.151123
18.194.118.124,82,No Error,1525185312.1580513
18.194.153.61,82,No Error,1525185312.1693835
18.194.27.143,82,No Error,1525185312.1912768
18.194.12.179,66,Server Failure,1525185312.1951227
18.184.93.177,77,No Error,1525185312.200211
18.184.94.126,77,No Error,1525185312.2093446
18.194.211.29,82,No Error,1525185312.2200387
18.194.212.218,66,Refused,1525185312.256255
18.194.214.0,66,Refused,1525185312.2608712
18.194.145.218,82,No Error,1525185312.2833972
18.194.217.217,66,Refused,1525185312.287631
18.194.218.71,66,Refused,1525185312.307984
18.194.219.1,82,No Error,1525185312.314123
18.194.219.78,66,Refused,1525185312.3185184
18.194.221.60,66,Refused,1525185312.3274946
18.194.221.251,82,No Error,1525185312.3461404
18.184.93.177,77,No Error,1525185312.3496077
18.194.217.99,66,Refused,1525185312.353897
18.196.77.88,77,No Error,1525185312.3755407
18.194.101.249,77,No Error,1525185312.3782737
18.194.226.107,66,Refused,1525185312.3813145
18.194.225.254,82,No Error,1525185312.3861377
18.194.228.62,66,Refused,1525185312.4153044
18.194.230.117,66,Refused,1525185312.4170346
18.194.49.5,82,No Error,1525185312.479404
18.194.49.5,82,No Error,1525185312.4934754
18.194.236.179,66,Server Failure,1525185312.4950619
18.194.49.5,82,No Error,1525185312.5212429
18.194.101.249,82,No Error,1525185312.5323884
18.194.241.125,66,Refused,1525185312.5401225
18.194.242.111,66,No Error,1525185312.5450478
18.194.248.209,66,Refused,1525185312.580529
18.194.106.67,66,Server Failure,1525185312.6033208
18.194.252.238,82,No Error,1525185312.6245143
18.194.254.205,66,Refused,1525185312.6484067
18.194.255.203,82,No Error,1525185312.6603842
18.195.1.84,66,Refused,1525185312.6660562
18.195.3.176,66,Refused,1525185312.6999252
18.195.8.222,82,No Error,1525185312.7290597
18.195.8.151,66,Refused,1525185312.737123
18.195.15.132,82,No Error,1525185312.808477
18.195.18.171,66,Refused,1525185312.8224607
18.195.19.53,66,Refused,1525185312.8322976
18.196.77.88,77,No Error,1525185312.8411803
18.195.19.163,82,No Error,1525185312.8553114
18.195.22.68,66,Refused,1525185312.8642416
18.194.107.128,82,No Error,1525185312.9122396
18.195.27.225,82,No Error,1525185312.9241686
18.195.28.73,66,Refused,1525185312.9279523
18.195.26.88,66,Refused,1525185312.9462333
18.194.190.64,66,Refused,1525185312.958023
18.195.30.250,66,Refused,1525185312.981187
18.195.35.242,66,Refused,1525185313.0067766
18.195.37.4,66,Server Failure,1525185313.023183
18.195.39.183,82,No Error,1525185313.0279748
18.195.37.176,82,No Error,1525185313.0363936
18.195.38.85,66,Refused,1525185313.0369253
18.195.19.3,82,No Error,1525185313.0437093
18.195.42.216,66,Refused,1525185313.0763538
18.195.47.230,82,No Error,1525185313.1123369
18.195.46.243,389,No Error,1525185313.1320941
18.195.49.19,66,Refused,1525185313.1331387
18.195.55.254,66,Refused,1525185313.1990838
18.195.46.243,246,No Error,1525185313.311459
18.195.81.232,498,No Error,1525185313.4362762
18.195.83.250,66,Refused,1525185313.4577432
18.195.82.109,66,Refused,1525185313.4605322
18.195.82.204,82,No Error,1525185313.4621844
18.195.84.35,66,Refused,1525185313.4661436
18.195.84.26,82,No Error,1525185313.4725149
18.195.87.58,66,Refused,1525185313.4783268
18.195.88.215,293,No Error,1525185313.4884334
18.188.210.82,77,No Error,1525185313.5569906
18.195.98.150,66,Refused,1525185313.5760076
18.195.102.147,66,Refused,1525185313.629379
18.195.105.234,12,Refused,1525185313.6493227
18.195.107.218,82,No Error,1525185313.6813154
18.195.46.243,221,No Error,1525185313.7137635
18.195.111.13,82,No Error,1525185313.7195446
18.195.113.14,66,Refused,1525185313.725409
18.195.112.82,82,No Error,1525185313.731411
18.195.116.49,66,Refused,1525185313.759336
18.195.118.111,66,Refused,1525185313.7691379
18.195.36.250,82,No Error,1525185313.7753224
18.195.120.91,66,Refused,1525185313.7840836
18.195.124.99,66,Refused,1525185313.8380258
18.195.126.48,66,Refused,1525185313.861365
18.188.129.15,77,No Error,1525185313.89945
18.195.131.85,82,No Error,1525185313.9207845
18.195.134.213,66,Refused,1525185313.9425735
18.195.141.163,66,Refused,1525185314.0104558
18.195.134.244,82,No Error,1525185314.0266821
18.195.145.183,66,Refused,1525185314.0640872
18.196.113.121,77,No Error,1525185314.1039083
18.195.152.82,66,Refused,1525185314.1043336
18.195.73.103,82,No Error,1525185314.112117
18.195.83.168,82,No Error,1525185314.19819
18.195.42.91,66,Server Failure,1525185314.1991365
18.195.162.175,66,Refused,1525185314.207449
18.195.162.207,66,Refused,1525185314.2125995
18.195.163.85,66,Refused,1525185314.2287862
18.195.164.208,82,No Error,1525185314.2429683
18.195.165.22,66,Refused,1525185314.2442238
18.195.30.23,77,No Error,1525185314.2619786
18.195.168.182,66,Refused,1525185314.278453
18.195.170.222,82,No Error,1525185314.3175251
18.195.174.219,66,Refused,1525185314.3318515
18.195.172.178,66,Refused,1525185314.3368883
18.195.177.215,66,Refused,1525185314.3526723
18.195.178.69,66,Refused,1525185314.364765
18.195.177.237,66,Refused,1525185314.3706927
18.195.30.23,82,No Error,1525185314.3767023
18.184.27.63,77,No Error,1525185314.4288836
18.195.186.188,66,Refused,1525185314.458843
18.195.187.7,82,No Error,1525185314.4663272
18.195.186.59,82,No Error,1525185314.4719942
18.195.189.25,82,No Error,1525185314.502584
18.195.46.243,230,No Error,1525185314.526814
18.195.194.24,82,No Error,1525185314.5486274
18.195.196.71,66,Refused,1525185314.5572634
18.195.195.76,66,Refused,1525185314.5618315
18.195.196.169,66,Refused,1525185314.567964
18.195.121.224,77,No Error,1525185314.580367
18.188.94.9,77,No Error,1525185314.5835946
18.195.198.128,66,Refused,1525185314.5908818
18.195.200.22,66,Refused,1525185314.6156857
18.195.200.25,66,Refused,1525185314.6173286
18.195.121.199,77,No Error,1525185314.633279
18.195.203.43,66,Refused,1525185314.6338296
18.195.199.84,66,Refused,1525185314.6645231
18.184.27.63,77,No Error,1525185314.67317
18.195.208.188,66,Refused,1525185314.6897194
18.195.121.224,82,No Error,1525185314.7005985
18.195.121.199,82,No Error,1525185314.747829
18.195.211.83,82,No Error,1525185314.7539735
18.195.211.254,66,Refused,1525185314.777063
18.195.220.139,66,Refused,1525185314.8400235
18.195.218.247,82,No Error,1525185314.8490913
18.195.219.110,82,No Error,1525185314.849602
18.195.221.207,82,No Error,1525185314.8704078
18.195.224.171,66,Refused,1525185314.8789122
18.195.223.181,66,Refused,1525185314.8803356
18.195.224.5,82,No Error,1525185314.8907607
18.195.226.208,66,Refused,1525185314.9025362
18.195.229.174,66,Refused,1525185314.939198
18.195.233.68,66,Refused,1525185314.9710627
18.195.233.202,82,No Error,1525185314.9760609
18.195.193.6,82,No Error,1525185315.00108
18.195.223.193,82,No Error,1525185315.0029573
18.195.235.182,82,No Error,1525185315.041864
18.195.237.210,66,Refused,1525185315.0529952
18.195.245.116,66,Refused,1525185315.0734446
18.195.248.60,82,No Error,1525185315.107969
18.195.251.22,66,Refused,1525185315.145489
18.195.252.40,66,Refused,1525185315.1513667
18.195.252.198,66,Refused,1525185315.1552434
18.195.255.83,66,Refused,1525185315.1729727
18.195.255.94,82,No Error,1525185315.184159
18.196.0.138,66,Refused,1525185315.1941998
18.196.0.247,66,Refused,1525185315.2021956
18.196.2.234,66,Refused,1525185315.2220354
18.196.5.32,66,Refused,1525185315.2281823
18.196.5.112,66,Refused,1525185315.2297852
18.196.5.232,66,Refused,1525185315.2386355
18.196.7.104,66,Refused,1525185315.263323
18.196.7.59,82,No Error,1525185315.2673085
18.196.11.253,66,Refused,1525185315.2951307
18.196.14.136,82,No Error,1525185315.3291385
18.196.15.34,66,Refused,1525185315.3371074
18.196.16.214,82,No Error,1525185315.3742194
18.196.19.95,82,No Error,1525185315.3872597
18.196.19.105,82,No Error,1525185315.3911066
18.196.26.165,66,Refused,1525185315.4422314
18.196.26.161,66,Refused,1525185315.448296
18.196.27.39,66,Refused,1525185315.473489
18.196.26.23,82,No Error,1525185315.4766006
18.195.208.116,66,Server Failure,1525185315.4820423
18.196.28.85,82,No Error,1525185315.482651
18.196.34.16,66,Refused,1525185315.511084
18.196.36.230,66,Refused,1525185315.5281062
18.196.40.32,66,Refused,1525185315.562829
18.195.220.239,66,Server Failure,1525185315.6123383
18.196.47.84,66,Refused,1525185315.6322472
18.196.47.247,66,Refused,1525185315.6372688
18.196.51.212,66,Refused,1525185315.6683567
18.196.60.25,66,Refused,1525185315.7391136
18.196.62.30,66,Refused,1525185315.7569559
18.196.63.38,66,No Error,1525185315.7872612
18.196.65.6,82,No Error,1525185315.7911985
18.196.67.129,293,No Error,1525185315.8055744
18.196.68.205,82,No Error,1525185315.8252652
18.188.190.122,77,No Error,1525185315.8287177
18.196.75.185,66,Refused,1525185315.8892286
18.195.235.66,66,Server Failure,1525185315.9155703
18.196.77.34,66,Refused,1525185315.921099
18.196.84.227,12,Refused,1525185315.9696472
18.196.84.151,66,Refused,1525185315.9749963
18.196.86.62,82,No Error,1525185315.992324
18.196.92.175,66,Refused,1525185316.0294087
18.196.93.101,82,No Error,1525185316.0330293
18.196.93.41,66,Refused,1525185316.0355895
18.196.92.223,66,Refused,1525185316.0360599
18.195.232.35,90,No Error,1525185316.0421524
18.196.96.63,66,Refused,1525185316.0529974
18.196.95.229,82,No Error,1525185316.0591779
18.196.94.179,82,No Error,1525185316.0646608
18.196.98.78,66,Refused,1525185316.0835354
18.196.100.208,66,No Error,1525185316.1119318
18.196.102.77,66,Refused,1525185316.123947
18.195.46.243,161,No Error,1525185316.1375148
18.196.108.205,66,Refused,1525185316.1830978
18.196.109.253,66,Refused,1525185316.1931443
18.196.108.125,246,No Error,1525185316.197636
18.196.113.93,66,No Error,1525185316.2324612
18.196.115.53,82,No Error,1525185316.2570322
18.196.116.27,82,No Error,1525185316.2665846
18.196.116.58,66,Refused,1525185316.2711773
18.196.116.141,82,No Error,1525185316.2775755
18.196.119.143,66,Refused,1525185316.2868123
18.195.243.106,66,Server Failure,1525185316.2922716
18.196.122.223,66,Refused,1525185316.3353198
18.196.123.48,82,No Error,1525185316.3444176
18.196.126.75,82,No Error,1525185316.3563464
18.196.128.61,66,Refused,1525185316.3693373
18.196.108.125,370,No Error,1525185316.3999662
18.196.127.131,82,No Error,1525185316.42738
18.196.131.93,66,Refused,1525185316.4320593
18.196.139.20,66,Refused,1525185316.4862404
18.196.139.24,82,No Error,1525185316.50124
18.196.140.54,82,No Error,1525185316.5066724
18.196.140.22,66,Refused,1525185316.509114
18.196.143.108,66,Refused,1525185316.5345893
18.196.144.111,66,Refused,1525185316.548259
18.196.143.213,66,Refused,1525185316.5552528
18.196.154.48,66,Refused,1525185316.627328
18.196.156.182,82,No Error,1525185316.65031
18.196.159.243,82,No Error,1525185316.6871824
18.196.164.235,82,No Error,1525185316.7446659
18.196.164.11,66,Refused,1525185316.7519577
18.196.163.236,82,No Error,1525185316.7534351
18.196.167.14,66,Refused,1525185316.7567692
18.196.168.35,82,No Error,1525185316.7602923
18.196.169.251,66,Refused,1525185316.7676132
18.196.169.77,66,Refused,1525185316.7790089
18.196.108.125,353,No Error,1525185316.809187
18.196.173.215,66,Refused,1525185316.8146572
18.196.83.217,77,No Error,1525185316.8193777
18.196.176.186,66,Refused,1525185316.8254652
18.196.177.97,66,Refused,1525185316.8318686
18.196.178.107,82,No Error,1525185316.8600287
18.196.179.171,66,Refused,1525185316.8680503
18.196.179.154,82,No Error,1525185316.873032
18.196.180.167,82,No Error,1525185316.8761933
18.196.83.217,112,No Error,1525185316.9490888
18.196.186.150,66,Refused,1525185316.967904
18.196.188.54,82,No Error,1525185316.9873827
18.196.190.245,82,No Error,1525185317.0145998
18.196.191.218,82,No Error,1525185317.0241604
18.196.193.123,66,Refused,1525185317.0290797
18.196.195.208,82,No Error,1525185317.069287
18.196.199.78,66,Refused,1525185317.0827148
18.196.200.102,82,No Error,1525185317.0873225
18.196.201.31,66,Refused,1525185317.1004486
18.196.202.73,66,Refused,1525185317.1226573
18.196.76.18,66,Server Failure,1525185317.1261084
18.196.114.227,66,Server Failure,1525185317.1452954
18.196.205.229,82,No Error,1525185317.150252
18.196.142.226,66,Server Failure,1525185317.184577
18.196.222.11,66,Refused,1525185317.2891366
18.196.222.8,66,Refused,1525185317.2948658
18.196.222.28,66,Refused,1525185317.2996495
18.196.222.22,66,Refused,1525185317.305093
18.196.222.25,66,Refused,1525185317.3103802
18.196.222.26,66,Refused,1525185317.3186574
18.196.222.19,66,Refused,1525185317.3254437
18.196.222.62,66,Refused,1525185317.32826
18.196.222.56,66,Refused,1525185317.3332613
18.196.222.27,66,Refused,1525185317.3383603
18.196.222.21,66,Refused,1525185317.3477762
18.196.222.61,66,Refused,1525185317.3557682
18.196.222.38,66,Refused,1525185317.3561995
18.196.222.70,66,Refused,1525185317.356561
18.196.222.65,66,Refused,1525185317.3671339
18.196.222.37,66,Refused,1525185317.3675463
18.196.222.77,66,Refused,1525185317.3679461
18.196.222.81,66,Refused,1525185317.3683136
18.196.222.74,66,Refused,1525185317.3686752
18.196.222.79,66,Refused,1525185317.3690693
18.196.222.111,66,Refused,1525185317.3694315
18.196.222.76,66,Refused,1525185317.4055693
18.196.222.30,66,Refused,1525185317.4119453
18.196.222.68,66,Refused,1525185317.4123187
18.196.222.96,66,Refused,1525185317.4126775
18.196.222.71,66,Refused,1525185317.4130673
18.196.222.69,66,Refused,1525185317.4134302
18.196.222.67,66,Refused,1525185317.4137797
18.196.222.82,66,Refused,1525185317.4382992
18.196.222.110,66,Refused,1525185317.4386907
18.196.222.78,66,Refused,1525185317.447116
18.196.222.100,66,Refused,1525185317.4583008
18.196.222.0,66,Refused,1525185317.458676
18.196.222.105,66,Refused,1525185317.4649467
18.196.222.107,66,Refused,1525185317.4653738
18.196.222.141,66,Refused,1525185317.4657316
18.196.222.153,66,Refused,1525185317.4661086
18.196.222.122,66,Refused,1525185317.4664571
18.196.222.152,66,Refused,1525185317.4668279
18.196.222.148,66,Refused,1525185317.4913335
18.196.222.119,66,Refused,1525185317.4997602
18.196.222.155,66,Refused,1525185317.5001829
18.196.222.179,66,Refused,1525185317.5005472
18.196.222.177,66,Refused,1525185317.5180917
